
Ehescheidungen,Anzahl
1950,84674
1951,63973
1952,57929
1953,53872
1954,50665
1955,48275
1956,46101
1957,46352
1958,48048
1959,48846
1960,48873
1961,49271
1962,49514
1963,50840
1964,55708
1965,58721
1966,58715
1967,62827
1968,65234
1969,72300
1970,76520
1971,80444
1972,86614
1973,90164
1974,98584
1975,106829
1976,108258
1977,74658
1978,32462
1979,79490
1980,96222
1981,109520
1982,118483
1983,121317
1984,130744
1985,128124
1986,122443
1987,129850
1988,128729
1989,126628
1990,122869
1991,136317
1992,135010
1993,156425
1994,166052
1995,169425
1996,175550
1997,187802
1998,192416
1999,190590
2000,194408
2001,197498
2002,204214
2003,213975
2004,213691
2005,201693
2006,190928
2007,187072
2008,191948
2009,185817
2010,187027
2011,187640
2012,179147
2013,169833
2014,166199
2015,163335
2016,162397
2017,153501
2018,148066
2019,149010
2020,143801
2021,142751
2022,137353

